Epoch 1 | iter 50 step 25 | loss train: 2.017, val: n/a | iter time: 13353.36 ms (step)
Epoch 2 | iter 2750 step 1375 | loss train: 0.061, val: 0.065 | iter time: 13688.12 ms (step)
Epoch 2 | iter 2800 step 1400 | loss train: 0.062, val: 0.065 | iter time: 13807.51 ms (step)
Epoch 2 | iter 2850 step 1425 | loss train: 0.063, val: 0.062 | iter time: 13617.79 ms (step)
Epoch 2 | iter 2900 step 1450 | loss train: 0.063, val: 0.062 | iter time: 13577.72 ms (step)
Epoch 2 | iter 2950 step 1475 | loss train: 0.062, val: 0.062 | iter time: 13453.33 ms (step)
Epoch 2 | iter 3000 step 1500 | loss train: 0.062, val: 0.062 | iter time: 13405.53 ms (step)
Epoch 2 | iter 3050 step 1525 | loss train: 0.061, val: 0.062 | iter time: 13413.45 ms (step)
Epoch 2 | iter 3100 step 1550 | loss train: 0.061, val: 0.062 | iter time: 13655.79 ms (step)
Epoch 2 | iter 3150 step 1575 | loss train: 0.061, val: 0.062 | iter time: 14244.84 ms (step)
Epoch 2 | iter 3200 step 1600 | loss train: 0.064, val: 0.062 | iter time: 14002.55 ms (step)
Epoch 2 | iter 3250 step 1625 | loss train: 0.062, val: 0.062 | iter time: 13657.89 ms (step)
Epoch 2 | iter 3300 step 1650 | loss train: 0.062, val: 0.062 | iter time: 13578.52 ms (step)
Epoch 2 | iter 3350 step 1675 | loss train: 0.061, val: 0.062 | iter time: 14264.93 ms (step)
Epoch 2 | iter 3400 step 1700 | loss train: 0.062, val: 0.062 | iter time: 13647.87 ms (step)
Epoch 3 | iter 3450 step 1725 | loss train: 0.061, val: 0.062 | iter time: 13360.64 ms (step)
Epoch 3 | iter 3500 step 1750 | loss train: 0.061, val: 0.062 | iter time: 13569.19 ms (step)
Epoch 3 | iter 3550 step 1775 | loss train: 0.062, val: 0.062 | iter time: 13455.42 ms (step)
Epoch 3 | iter 3600 step 1800 | loss train: 0.060, val: 0.062 | iter time: 13692.89 ms (step)
Epoch 3 | iter 3650 step 1825 | loss train: 0.061, val: 0.062 | iter time: 13669.87 ms (step)
Epoch 3 | iter 3700 step 1850 | loss train: 0.062, val: 0.062 | iter time: 13595.19 ms (step)
Epoch 3 | iter 3750 step 1875 | loss train: 0.061, val: 0.062 | iter time: 13645.71 ms (step)
Epoch 3 | iter 3800 step 1900 | loss train: 0.061, val: 0.062 | iter time: 13784.36 ms (step)
Epoch 3 | iter 3850 step 1925 | loss train: 0.062, val: 0.062 | iter time: 13985.16 ms (step)
Epoch 3 | iter 3900 step 1950 | loss train: 0.062, val: 0.062 | iter time: 13690.72 ms (step)
Epoch 3 | iter 3950 step 1975 | loss train: 0.061, val: 0.062 | iter time: 13656.72 ms (step)
Epoch 3 | iter 4000 step 2000 | loss train: 0.061, val: 0.062 | iter time: 13639.66 ms (step)
Epoch 3 | iter 4050 step 2025 | loss train: 0.061, val: 0.061 | iter time: 13807.77 ms (step)
Epoch 3 | iter 4100 step 2050 | loss train: 0.063, val: 0.061 | iter time: 13687.04 ms (step)
Epoch 3 | iter 4150 step 2075 | loss train: 0.061, val: 0.061 | iter time: 13963.40 ms (step)
Epoch 3 | iter 4200 step 2100 | loss train: 0.061, val: 0.061 | iter time: 13566.01 ms (step)
Epoch 3 | iter 4250 step 2125 | loss train: 0.061, val: 0.061 | iter time: 13602.82 ms (step)
Epoch 3 | iter 4300 step 2150 | loss train: 0.060, val: 0.061 | iter time: 13680.70 ms (step)
Epoch 3 | iter 4350 step 2175 | loss train: 0.060, val: 0.061 | iter time: 13609.58 ms (step)
Epoch 3 | iter 4400 step 2200 | loss train: 0.062, val: 0.061 | iter time: 13680.34 ms (step)
Epoch 3 | iter 4450 step 2225 | loss train: 0.061, val: 0.061 | iter time: 13590.03 ms (step)
Epoch 3 | iter 4500 step 2250 | loss train: 0.060, val: 0.061 | iter time: 13571.70 ms (step)
Epoch 3 | iter 4550 step 2275 | loss train: 0.062, val: 0.061 | iter time: 13610.78 ms (step)
Epoch 3 | iter 4600 step 2300 | loss train: 0.061, val: 0.061 | iter time: 13488.71 ms (step)
Epoch 3 | iter 4650 step 2325 | loss train: 0.061, val: 0.061 | iter time: 13623.64 ms (step)
Epoch 3 | iter 4700 step 2350 | loss train: 0.062, val: 0.061 | iter time: 13369.82 ms (step)
Epoch 3 | iter 4750 step 2375 | loss train: 0.061, val: 0.061 | iter time: 14065.87 ms (step)
Epoch 3 | iter 4800 step 2400 | loss train: 0.063, val: 0.061 | iter time: 13705.54 ms (step)
Epoch 3 | iter 4850 step 2425 | loss train: 0.062, val: 0.061 | iter time: 13521.88 ms (step)
Epoch 3 | iter 4900 step 2450 | loss train: 0.062, val: 0.061 | iter time: 14118.26 ms (step)
Epoch 3 | iter 4950 step 2475 | loss train: 0.063, val: 0.061 | iter time: 13657.06 ms (step)
Epoch 3 | iter 5000 step 2500 | loss train: 0.061, val: 0.061 | iter time: 13606.65 ms (step)
Epoch 3 | iter 5050 step 2525 | loss train: 0.062, val: 0.061 | iter time: 13674.23 ms (step)
Epoch 3 | iter 5100 step 2550 | loss train: 0.060, val: 0.061 | iter time: 13621.71 ms (step)
Epoch 4 | iter 5150 step 2575 | loss train: 0.062, val: 0.061 | iter time: 13677.65 ms (step)
Epoch 4 | iter 5200 step 2600 | loss train: 0.061, val: 0.061 | iter time: 14022.64 ms (step)
Epoch 4 | iter 5250 step 2625 | loss train: 0.061, val: 0.061 | iter time: 13713.13 ms (step)
Epoch 4 | iter 5300 step 2650 | loss train: 0.061, val: 0.061 | iter time: 13565.45 ms (step)
Epoch 4 | iter 5350 step 2675 | loss train: 0.061, val: 0.061 | iter time: 13905.23 ms (step)
Epoch 4 | iter 5400 step 2700 | loss train: 0.061, val: 0.061 | iter time: 13332.51 ms (step)
Epoch 4 | iter 5450 step 2725 | loss train: 0.061, val: 0.061 | iter time: 13566.94 ms (step)
Epoch 4 | iter 5500 step 2750 | loss train: 0.062, val: 0.061 | iter time: 13587.56 ms (step)
Epoch 4 | iter 5550 step 2775 | loss train: 0.060, val: 0.061 | iter time: 13860.33 ms (step)
Epoch 4 | iter 5600 step 2800 | loss train: 0.062, val: 0.061 | iter time: 13787.82 ms (step)
Epoch 4 | iter 5650 step 2825 | loss train: 0.061, val: 0.061 | iter time: 13558.44 ms (step)
Epoch 4 | iter 5700 step 2850 | loss train: 0.059, val: 0.061 | iter time: 13673.87 ms (step)
Epoch 4 | iter 5750 step 2875 | loss train: 0.061, val: 0.061 | iter time: 13662.03 ms (step)
Epoch 4 | iter 5800 step 2900 | loss train: 0.059, val: 0.061 | iter time: 13378.81 ms (step)
Epoch 4 | iter 5850 step 2925 | loss train: 0.061, val: 0.061 | iter time: 13503.35 ms (step)
Epoch 4 | iter 5900 step 2950 | loss train: 0.060, val: 0.061 | iter time: 13686.68 ms (step)
Epoch 4 | iter 5950 step 2975 | loss train: 0.061, val: 0.061 | iter time: 13513.42 ms (step)
Epoch 4 | iter 6000 step 3000 | loss train: 0.061, val: 0.061 | iter time: 13587.73 ms (step)
Epoch 4 | iter 6050 step 3025 | loss train: 0.062, val: 0.061 | iter time: 13400.29 ms (step)
Epoch 4 | iter 6100 step 3050 | loss train: 0.059, val: 0.061 | iter time: 13982.36 ms (step)
Epoch 4 | iter 6150 step 3075 | loss train: 0.061, val: 0.061 | iter time: 13761.52 ms (step)
Epoch 4 | iter 6200 step 3100 | loss train: 0.060, val: 0.061 | iter time: 13582.06 ms (step)
Epoch 4 | iter 6250 step 3125 | loss train: 0.062, val: 0.061 | iter time: 13632.98 ms (step)
Epoch 4 | iter 6300 step 3150 | loss train: 0.061, val: 0.061 | iter time: 13950.32 ms (step)
Epoch 4 | iter 6350 step 3175 | loss train: 0.060, val: 0.061 | iter time: 13598.58 ms (step)
Epoch 4 | iter 6400 step 3200 | loss train: 0.061, val: 0.061 | iter time: 13660.23 ms (step)
Epoch 4 | iter 6450 step 3225 | loss train: 0.060, val: 0.061 | iter time: 13579.42 ms (step)
Epoch 4 | iter 6500 step 3250 | loss train: 0.060, val: 0.061 | iter time: 13931.43 ms (step)
Epoch 4 | iter 6550 step 3275 | loss train: 0.062, val: 0.061 | iter time: 13711.08 ms (step)
Epoch 4 | iter 6600 step 3300 | loss train: 0.061, val: 0.061 | iter time: 13374.53 ms (step)
Epoch 4 | iter 6650 step 3325 | loss train: 0.061, val: 0.061 | iter time: 13659.62 ms (step)
Epoch 4 | iter 6700 step 3350 | loss train: 0.060, val: 0.061 | iter time: 13717.94 ms (step)
Epoch 4 | iter 6750 step 3375 | loss train: 0.060, val: 0.061 | iter time: 13613.30 ms (step)
Epoch 4 | iter 6800 step 3400 | loss train: 0.060, val: 0.061 | iter time: 13578.00 ms (step)
Epoch 5 | iter 6850 step 3425 | loss train: 0.060, val: 0.061 | iter time: 13662.10 ms (step)
Epoch 5 | iter 6900 step 3450 | loss train: 0.061, val: 0.061 | iter time: 13958.21 ms (step)
Epoch 5 | iter 6950 step 3475 | loss train: 0.061, val: 0.061 | iter time: 13492.85 ms (step)
Epoch 5 | iter 7000 step 3500 | loss train: 0.061, val: 0.061 | iter time: 13622.28 ms (step)
Epoch 5 | iter 7050 step 3525 | loss train: 0.058, val: 0.061 | iter time: 13655.52 ms (step)
Epoch 5 | iter 7100 step 3550 | loss train: 0.060, val: 0.061 | iter time: 13620.24 ms (step)
Epoch 5 | iter 7150 step 3575 | loss train: 0.061, val: 0.061 | iter time: 13679.60 ms (step)
Epoch 5 | iter 7200 step 3600 | loss train: 0.061, val: 0.061 | iter time: 13703.81 ms (step)
Epoch 5 | iter 7250 step 3625 | loss train: 0.060, val: 0.061 | iter time: 13749.70 ms (step)
Epoch 5 | iter 7300 step 3650 | loss train: 0.061, val: 0.061 | iter time: 14161.91 ms (step)
Epoch 5 | iter 7350 step 3675 | loss train: 0.060, val: 0.061 | iter time: 13634.00 ms (step)
Epoch 5 | iter 7400 step 3700 | loss train: 0.061, val: 0.061 | iter time: 13710.46 ms (step)
Epoch 5 | iter 7450 step 3725 | loss train: 0.061, val: 0.061 | iter time: 13575.22 ms (step)
Epoch 5 | iter 7500 step 3750 | loss train: 0.059, val: 0.061 | iter time: 13722.70 ms (step)
Epoch 5 | iter 7550 step 3775 | loss train: 0.059, val: 0.061 | iter time: 13616.10 ms (step)
Epoch 5 | iter 7600 step 3800 | loss train: 0.060, val: 0.061 | iter time: 13668.75 ms (step)
Epoch 5 | iter 7650 step 3825 | loss train: 0.061, val: 0.061 | iter time: 13543.20 ms (step)
Epoch 5 | iter 7700 step 3850 | loss train: 0.060, val: 0.061 | iter time: 13654.53 ms (step)
Epoch 5 | iter 7750 step 3875 | loss train: 0.061, val: 0.061 | iter time: 13571.57 ms (step)
Epoch 5 | iter 7800 step 3900 | loss train: 0.060, val: 0.061 | iter time: 13637.16 ms (step)
Epoch 5 | iter 7850 step 3925 | loss train: 0.060, val: 0.061 | iter time: 13630.21 ms (step)
Epoch 5 | iter 7900 step 3950 | loss train: 0.062, val: 0.061 | iter time: 13914.62 ms (step)
Epoch 5 | iter 7950 step 3975 | loss train: 0.061, val: 0.061 | iter time: 13434.56 ms (step)
Epoch 5 | iter 8000 step 4000 | loss train: 0.060, val: 0.061 | iter time: 13659.24 ms (step)
Epoch 5 | iter 8050 step 4025 | loss train: 0.059, val: 0.061 | iter time: 13584.09 ms (step)
Epoch 5 | iter 8100 step 4050 | loss train: 0.061, val: 0.061 | iter time: 13661.59 ms (step)
Epoch 5 | iter 8150 step 4075 | loss train: 0.061, val: 0.061 | iter time: 13687.54 ms (step)
Epoch 5 | iter 8200 step 4100 | loss train: 0.059, val: 0.061 | iter time: 13389.20 ms (step)
Epoch 5 | iter 8250 step 4125 | loss train: 0.059, val: 0.061 | iter time: 13978.31 ms (step)
Epoch 5 | iter 8300 step 4150 | loss train: 0.060, val: 0.061 | iter time: 13851.91 ms (step)
Epoch 5 | iter 8350 step 4175 | loss train: 0.060, val: 0.061 | iter time: 13958.99 ms (step)
Epoch 5 | iter 8400 step 4200 | loss train: 0.059, val: 0.061 | iter time: 13641.15 ms (step)
Epoch 5 | iter 8450 step 4225 | loss train: 0.061, val: 0.060 | iter time: 13618.94 ms (step)
Epoch 5 | iter 8500 step 4250 | loss train: 0.062, val: 0.060 | iter time: 13631.46 ms (step)
Epoch 6 | iter 8550 step 4275 | loss train: 0.061, val: 0.060 | iter time: 13794.13 ms (step)
Epoch 6 | iter 8600 step 4300 | loss train: 0.060, val: 0.060 | iter time: 13669.15 ms (step)
Epoch 6 | iter 8650 step 4325 | loss train: 0.060, val: 0.060 | iter time: 14047.48 ms (step)
Epoch 6 | iter 8700 step 4350 | loss train: 0.060, val: 0.060 | iter time: 13539.42 ms (step)
Epoch 6 | iter 8750 step 4375 | loss train: 0.059, val: 0.060 | iter time: 13404.62 ms (step)
Epoch 6 | iter 8800 step 4400 | loss train: 0.059, val: 0.060 | iter time: 13576.26 ms (step)
Epoch 6 | iter 8850 step 4425 | loss train: 0.061, val: 0.061 | iter time: 13584.41 ms (step)
Epoch 6 | iter 8900 step 4450 | loss train: 0.059, val: 0.061 | iter time: 13679.32 ms (step)
Epoch 6 | iter 8950 step 4475 | loss train: 0.060, val: 0.061 | iter time: 14344.17 ms (step)
Epoch 6 | iter 9000 step 4500 | loss train: 0.060, val: 0.061 | iter time: 13661.95 ms (step)
Epoch 6 | iter 9050 step 4525 | loss train: 0.058, val: 0.061 | iter time: 13588.59 ms (step)
Epoch 6 | iter 9100 step 4550 | loss train: 0.060, val: 0.061 | iter time: 13978.49 ms (step)
Epoch 6 | iter 9150 step 4575 | loss train: 0.059, val: 0.061 | iter time: 13724.77 ms (step)
Epoch 6 | iter 9200 step 4600 | loss train: 0.060, val: 0.061 | iter time: 13975.02 ms (step)
Epoch 6 | iter 9250 step 4625 | loss train: 0.059, val: 0.061 | iter time: 13549.28 ms (step)
Epoch 6 | iter 9300 step 4650 | loss train: 0.060, val: 0.061 | iter time: 13871.05 ms (step)
Epoch 6 | iter 9350 step 4675 | loss train: 0.058, val: 0.061 | iter time: 13719.90 ms (step)
Epoch 6 | iter 9400 step 4700 | loss train: 0.060, val: 0.061 | iter time: 13369.41 ms (step)
Epoch 6 | iter 9450 step 4725 | loss train: 0.059, val: 0.061 | iter time: 13513.86 ms (step)
Epoch 6 | iter 9500 step 4750 | loss train: 0.058, val: 0.061 | iter time: 13935.28 ms (step)
Epoch 6 | iter 9550 step 4775 | loss train: 0.061, val: 0.061 | iter time: 13993.90 ms (step)
Epoch 6 | iter 9600 step 4800 | loss train: 0.059, val: 0.061 | iter time: 13390.41 ms (step)
Epoch 6 | iter 9650 step 4825 | loss train: 0.059, val: 0.060 | iter time: 13597.02 ms (step)
Epoch 6 | iter 9700 step 4850 | loss train: 0.059, val: 0.060 | iter time: 13641.77 ms (step)
Epoch 6 | iter 9750 step 4875 | loss train: 0.061, val: 0.060 | iter time: 13842.30 ms (step)
Epoch 6 | iter 9800 step 4900 | loss train: 0.058, val: 0.060 | iter time: 13630.49 ms (step)
Epoch 6 | iter 9850 step 4925 | loss train: 0.059, val: 0.060 | iter time: 13616.45 ms (step)
Epoch 6 | iter 9900 step 4950 | loss train: 0.058, val: 0.060 | iter time: 13933.35 ms (step)
Epoch 6 | iter 9950 step 4975 | loss train: 0.060, val: 0.060 | iter time: 13606.75 ms (step)
Epoch 6 | iter 10000 step 5000 | loss train: 0.061, val: 0.060 | iter time: 13664.64 ms (step)
Epoch 6 | iter 10050 step 5025 | loss train: 0.060, val: 0.060 | iter time: 13772.30 ms (step)
Epoch 6 | iter 10100 step 5050 | loss train: 0.061, val: 0.060 | iter time: 13690.72 ms (step)
Epoch 6 | iter 10150 step 5075 | loss train: 0.059, val: 0.060 | iter time: 13668.84 ms (step)
Epoch 6 | iter 10200 step 5100 | loss train: 0.060, val: 0.060 | iter time: 13664.76 ms (step)
Epoch 7 | iter 10250 step 5125 | loss train: 0.059, val: 0.060 | iter time: 13418.44 ms (step)
Epoch 7 | iter 10300 step 5150 | loss train: 0.060, val: 0.060 | iter time: 13685.79 ms (step)
Epoch 7 | iter 10350 step 5175 | loss train: 0.060, val: 0.060 | iter time: 13623.13 ms (step)
Epoch 7 | iter 10400 step 5200 | loss train: 0.058, val: 0.060 | iter time: 13563.00 ms (step)
Epoch 7 | iter 10450 step 5225 | loss train: 0.061, val: 0.060 | iter time: 13697.40 ms (step)
Epoch 7 | iter 10500 step 5250 | loss train: 0.060, val: 0.060 | iter time: 13637.49 ms (step)
Epoch 7 | iter 10550 step 5275 | loss train: 0.061, val: 0.060 | iter time: 13626.10 ms (step)
Epoch 7 | iter 10600 step 5300 | loss train: 0.060, val: 0.060 | iter time: 13685.50 ms (step)
Epoch 7 | iter 10650 step 5325 | loss train: 0.060, val: 0.060 | iter time: 13727.83 ms (step)
Epoch 7 | iter 10700 step 5350 | loss train: 0.059, val: 0.060 | iter time: 13677.57 ms (step)
Epoch 7 | iter 10750 step 5375 | loss train: 0.061, val: 0.060 | iter time: 13552.35 ms (step)
Epoch 7 | iter 10800 step 5400 | loss train: 0.059, val: 0.060 | iter time: 13690.63 ms (step)
Epoch 7 | iter 10850 step 5425 | loss train: 0.058, val: 0.061 | iter time: 13587.05 ms (step)
Epoch 7 | iter 10900 step 5450 | loss train: 0.058, val: 0.061 | iter time: 13769.38 ms (step)
Epoch 7 | iter 10950 step 5475 | loss train: 0.060, val: 0.061 | iter time: 13901.11 ms (step)
Epoch 7 | iter 11000 step 5500 | loss train: 0.058, val: 0.061 | iter time: 13612.77 ms (step)
Epoch 7 | iter 11050 step 5525 | loss train: 0.060, val: 0.061 | iter time: 13598.30 ms (step)
Epoch 7 | iter 11100 step 5550 | loss train: 0.060, val: 0.061 | iter time: 13585.53 ms (step)
Epoch 7 | iter 11150 step 5575 | loss train: 0.058, val: 0.061 | iter time: 13560.75 ms (step)
Epoch 7 | iter 11200 step 5600 | loss train: 0.059, val: 0.061 | iter time: 13574.81 ms (step)
Epoch 7 | iter 11250 step 5625 | loss train: 0.060, val: 0.061 | iter time: 13617.12 ms (step)
Epoch 7 | iter 11300 step 5650 | loss train: 0.060, val: 0.061 | iter time: 14405.74 ms (step)
Epoch 7 | iter 11350 step 5675 | loss train: 0.058, val: 0.061 | iter time: 13692.27 ms (step)
Epoch 7 | iter 11400 step 5700 | loss train: 0.059, val: 0.061 | iter time: 13397.15 ms (step)
Epoch 7 | iter 11450 step 5725 | loss train: 0.059, val: 0.061 | iter time: 13636.28 ms (step)
Epoch 7 | iter 11500 step 5750 | loss train: 0.059, val: 0.061 | iter time: 13576.91 ms (step)
Epoch 7 | iter 11550 step 5775 | loss train: 0.059, val: 0.061 | iter time: 13619.32 ms (step)
Epoch 7 | iter 11600 step 5800 | loss train: 0.058, val: 0.061 | iter time: 13600.06 ms (step)
Epoch 7 | iter 11650 step 5825 | loss train: 0.060, val: 0.061 | iter time: 13532.41 ms (step)
Epoch 7 | iter 11700 step 5850 | loss train: 0.058, val: 0.061 | iter time: 13542.22 ms (step)
Epoch 7 | iter 11750 step 5875 | loss train: 0.059, val: 0.061 | iter time: 13656.94 ms (step)
Epoch 7 | iter 11800 step 5900 | loss train: 0.060, val: 0.061 | iter time: 13752.98 ms (step)
Epoch 7 | iter 11850 step 5925 | loss train: 0.059, val: 0.061 | iter time: 13616.39 ms (step)
Epoch 7 | iter 11900 step 5950 | loss train: 0.060, val: 0.061 | iter time: 13623.29 ms (step)
Epoch 8 | iter 11950 step 5975 | loss train: 0.059, val: 0.061 | iter time: 13744.47 ms (step)
Epoch 8 | iter 12000 step 6000 | loss train: 0.059, val: 0.061 | iter time: 13531.05 ms (step)
