Epoch 1 | iter 50 step 12 | loss train: 2.345, val: n/a | iter time: 1694.03 ms
Epoch 1 | iter 2500 step 625 | loss train: 0.064, val: 0.064 | iter time: 2282.97 ms (step)
Epoch 1 | iter 2550 step 637 | loss train: 0.063, val: 0.064 | iter time: 1695.25 ms
Epoch 1 | iter 2600 step 650 | loss train: 0.063, val: 0.064 | iter time: 2284.85 ms (step)
Epoch 1 | iter 2650 step 662 | loss train: 0.064, val: 0.064 | iter time: 1689.64 ms
Epoch 1 | iter 2700 step 675 | loss train: 0.063, val: 0.064 | iter time: 2294.00 ms (step)
Epoch 1 | iter 2750 step 687 | loss train: 0.062, val: 0.064 | iter time: 1687.19 ms
Epoch 1 | iter 2800 step 700 | loss train: 0.064, val: 0.064 | iter time: 2290.86 ms (step)
Epoch 1 | iter 2850 step 712 | loss train: 0.063, val: 0.064 | iter time: 1688.70 ms
Epoch 1 | iter 2900 step 725 | loss train: 0.063, val: 0.064 | iter time: 2284.19 ms (step)
Epoch 1 | iter 2950 step 737 | loss train: 0.061, val: 0.064 | iter time: 1699.97 ms
Epoch 1 | iter 3000 step 750 | loss train: 0.062, val: 0.064 | iter time: 2290.55 ms (step)
Epoch 1 | iter 3050 step 762 | loss train: 0.062, val: 0.064 | iter time: 1695.72 ms
Epoch 1 | iter 3100 step 775 | loss train: 0.064, val: 0.064 | iter time: 2264.80 ms (step)
Epoch 1 | iter 3150 step 787 | loss train: 0.063, val: 0.064 | iter time: 1699.01 ms
Epoch 1 | iter 3200 step 800 | loss train: 0.063, val: 0.064 | iter time: 2281.83 ms (step)
Epoch 1 | iter 3250 step 812 | loss train: 0.063, val: 0.063 | iter time: 1693.46 ms
Epoch 1 | iter 3300 step 825 | loss train: 0.062, val: 0.063 | iter time: 2279.18 ms (step)
Epoch 1 | iter 3350 step 837 | loss train: 0.062, val: 0.063 | iter time: 1692.19 ms
Epoch 1 | iter 3400 step 850 | loss train: 0.063, val: 0.063 | iter time: 2254.34 ms (step)
Epoch 2 | iter 3450 step 862 | loss train: 0.061, val: 0.063 | iter time: 1689.32 ms
Epoch 2 | iter 3500 step 875 | loss train: 0.062, val: 0.063 | iter time: 2274.84 ms (step)
Epoch 2 | iter 3550 step 887 | loss train: 0.062, val: 0.063 | iter time: 1699.03 ms
Epoch 2 | iter 3600 step 900 | loss train: 0.063, val: 0.063 | iter time: 2293.27 ms (step)
Epoch 2 | iter 3650 step 912 | loss train: 0.061, val: 0.063 | iter time: 1700.03 ms
Epoch 2 | iter 3700 step 925 | loss train: 0.062, val: 0.063 | iter time: 2275.08 ms (step)
Epoch 2 | iter 3750 step 937 | loss train: 0.062, val: 0.063 | iter time: 1691.37 ms
Epoch 2 | iter 3800 step 950 | loss train: 0.062, val: 0.063 | iter time: 2295.66 ms (step)
Epoch 2 | iter 3850 step 962 | loss train: 0.061, val: 0.063 | iter time: 1700.81 ms
Epoch 2 | iter 3900 step 975 | loss train: 0.063, val: 0.063 | iter time: 2255.37 ms (step)
Epoch 2 | iter 3950 step 987 | loss train: 0.061, val: 0.063 | iter time: 1701.22 ms
Epoch 2 | iter 4000 step 1000 | loss train: 0.062, val: 0.063 | iter time: 2280.34 ms (step)
Epoch 2 | iter 4050 step 1012 | loss train: 0.061, val: 0.062 | iter time: 1698.66 ms
Epoch 2 | iter 4100 step 1025 | loss train: 0.061, val: 0.062 | iter time: 2308.02 ms (step)
Epoch 2 | iter 4150 step 1037 | loss train: 0.062, val: 0.062 | iter time: 1686.11 ms
Epoch 2 | iter 4200 step 1050 | loss train: 0.062, val: 0.062 | iter time: 2286.81 ms (step)
Epoch 2 | iter 4250 step 1062 | loss train: 0.062, val: 0.062 | iter time: 1693.91 ms
Epoch 2 | iter 4300 step 1075 | loss train: 0.061, val: 0.062 | iter time: 2269.19 ms (step)
Epoch 2 | iter 4350 step 1087 | loss train: 0.061, val: 0.062 | iter time: 1694.99 ms
Epoch 2 | iter 4400 step 1100 | loss train: 0.060, val: 0.062 | iter time: 2285.79 ms (step)
Epoch 2 | iter 4450 step 1112 | loss train: 0.061, val: 0.062 | iter time: 1678.05 ms
Epoch 2 | iter 4500 step 1125 | loss train: 0.063, val: 0.062 | iter time: 2309.65 ms (step)
Epoch 2 | iter 4550 step 1137 | loss train: 0.062, val: 0.062 | iter time: 1693.43 ms
Epoch 2 | iter 4600 step 1150 | loss train: 0.061, val: 0.062 | iter time: 2287.44 ms (step)
Epoch 2 | iter 4650 step 1162 | loss train: 0.061, val: 0.062 | iter time: 1696.37 ms
Epoch 2 | iter 4700 step 1175 | loss train: 0.061, val: 0.062 | iter time: 2306.79 ms (step)
Epoch 2 | iter 4750 step 1187 | loss train: 0.062, val: 0.062 | iter time: 1698.31 ms
Epoch 2 | iter 4800 step 1200 | loss train: 0.060, val: 0.062 | iter time: 2290.77 ms (step)
Epoch 2 | iter 4850 step 1212 | loss train: 0.061, val: 0.061 | iter time: 1697.80 ms
Epoch 2 | iter 4900 step 1225 | loss train: 0.060, val: 0.061 | iter time: 2297.34 ms (step)
Epoch 2 | iter 4950 step 1237 | loss train: 0.061, val: 0.061 | iter time: 1698.70 ms
Epoch 2 | iter 5000 step 1250 | loss train: 0.061, val: 0.061 | iter time: 2300.37 ms (step)
Epoch 2 | iter 5050 step 1262 | loss train: 0.062, val: 0.061 | iter time: 1694.89 ms
Epoch 2 | iter 5100 step 1275 | loss train: 0.060, val: 0.061 | iter time: 2268.16 ms (step)
Epoch 2 | iter 5150 step 1287 | loss train: 0.060, val: 0.061 | iter time: 1687.41 ms
Epoch 2 | iter 5200 step 1300 | loss train: 0.061, val: 0.061 | iter time: 2273.54 ms (step)
Epoch 2 | iter 5250 step 1312 | loss train: 0.061, val: 0.061 | iter time: 1699.55 ms
Epoch 2 | iter 5300 step 1325 | loss train: 0.060, val: 0.061 | iter time: 2288.97 ms (step)
Epoch 2 | iter 5350 step 1337 | loss train: 0.061, val: 0.061 | iter time: 1695.22 ms
Epoch 2 | iter 5400 step 1350 | loss train: 0.062, val: 0.061 | iter time: 2298.25 ms (step)
Epoch 2 | iter 5450 step 1362 | loss train: 0.060, val: 0.061 | iter time: 1699.39 ms
Epoch 2 | iter 5500 step 1375 | loss train: 0.059, val: 0.061 | iter time: 2289.56 ms (step)
Epoch 2 | iter 5550 step 1387 | loss train: 0.061, val: 0.061 | iter time: 1702.40 ms
Epoch 2 | iter 5600 step 1400 | loss train: 0.061, val: 0.061 | iter time: 2280.35 ms (step)
Epoch 2 | iter 5650 step 1412 | loss train: 0.062, val: 0.061 | iter time: 1700.76 ms
Epoch 2 | iter 5700 step 1425 | loss train: 0.061, val: 0.061 | iter time: 2284.75 ms (step)
Epoch 2 | iter 5750 step 1437 | loss train: 0.061, val: 0.061 | iter time: 1692.90 ms
Epoch 2 | iter 5800 step 1450 | loss train: 0.061, val: 0.061 | iter time: 2268.02 ms (step)
Epoch 2 | iter 5850 step 1462 | loss train: 0.060, val: 0.061 | iter time: 1698.87 ms
Epoch 2 | iter 5900 step 1475 | loss train: 0.060, val: 0.061 | iter time: 2306.78 ms (step)
Epoch 2 | iter 5950 step 1487 | loss train: 0.062, val: 0.061 | iter time: 1872.77 ms
Epoch 2 | iter 6000 step 1500 | loss train: 0.060, val: 0.061 | iter time: 2280.72 ms (step)
Epoch 2 | iter 6050 step 1512 | loss train: 0.059, val: 0.061 | iter time: 1702.36 ms
Epoch 2 | iter 6100 step 1525 | loss train: 0.059, val: 0.061 | iter time: 2306.71 ms (step)
Epoch 2 | iter 6150 step 1537 | loss train: 0.062, val: 0.061 | iter time: 1691.11 ms
Epoch 2 | iter 6200 step 1550 | loss train: 0.059, val: 0.061 | iter time: 2242.21 ms (step)
Epoch 2 | iter 6250 step 1562 | loss train: 0.059, val: 0.061 | iter time: 1686.62 ms
Epoch 2 | iter 6300 step 1575 | loss train: 0.060, val: 0.061 | iter time: 2265.68 ms (step)
Epoch 2 | iter 6350 step 1587 | loss train: 0.061, val: 0.061 | iter time: 1692.94 ms
Epoch 2 | iter 6400 step 1600 | loss train: 0.060, val: 0.061 | iter time: 2277.11 ms (step)
Epoch 2 | iter 6450 step 1612 | loss train: 0.060, val: 0.060 | iter time: 1701.96 ms
Epoch 2 | iter 6500 step 1625 | loss train: 0.061, val: 0.060 | iter time: 2274.24 ms (step)
Epoch 2 | iter 6550 step 1637 | loss train: 0.060, val: 0.060 | iter time: 1688.74 ms
Epoch 2 | iter 6600 step 1650 | loss train: 0.060, val: 0.060 | iter time: 2275.31 ms (step)
Epoch 2 | iter 6650 step 1662 | loss train: 0.060, val: 0.060 | iter time: 1693.05 ms
Epoch 2 | iter 6700 step 1675 | loss train: 0.059, val: 0.060 | iter time: 2303.45 ms (step)
Epoch 2 | iter 6750 step 1687 | loss train: 0.060, val: 0.060 | iter time: 1696.32 ms
Epoch 2 | iter 6800 step 1700 | loss train: 0.060, val: 0.060 | iter time: 2298.69 ms (step)
Epoch 3 | iter 6850 step 1712 | loss train: 0.059, val: 0.060 | iter time: 1702.99 ms
Epoch 3 | iter 6900 step 1725 | loss train: 0.060, val: 0.060 | iter time: 2276.05 ms (step)
Epoch 3 | iter 6950 step 1737 | loss train: 0.060, val: 0.060 | iter time: 1695.76 ms
Epoch 3 | iter 7000 step 1750 | loss train: 0.059, val: 0.060 | iter time: 2284.74 ms (step)
Epoch 3 | iter 7050 step 1762 | loss train: 0.060, val: 0.060 | iter time: 1693.71 ms
Epoch 3 | iter 7100 step 1775 | loss train: 0.060, val: 0.060 | iter time: 2269.53 ms (step)
Epoch 3 | iter 7150 step 1787 | loss train: 0.060, val: 0.060 | iter time: 1691.53 ms
Epoch 3 | iter 7200 step 1800 | loss train: 0.059, val: 0.060 | iter time: 2283.67 ms (step)
Epoch 3 | iter 7250 step 1812 | loss train: 0.060, val: 0.060 | iter time: 1686.69 ms
Epoch 3 | iter 7300 step 1825 | loss train: 0.060, val: 0.060 | iter time: 2280.72 ms (step)
Epoch 3 | iter 7350 step 1837 | loss train: 0.060, val: 0.060 | iter time: 1688.74 ms
Epoch 3 | iter 7400 step 1850 | loss train: 0.061, val: 0.060 | iter time: 2302.66 ms (step)
Epoch 3 | iter 7450 step 1862 | loss train: 0.059, val: 0.060 | iter time: 1709.30 ms
Epoch 3 | iter 7500 step 1875 | loss train: 0.060, val: 0.060 | iter time: 2285.63 ms (step)
Epoch 3 | iter 7550 step 1887 | loss train: 0.060, val: 0.060 | iter time: 1691.03 ms
Epoch 3 | iter 7600 step 1900 | loss train: 0.059, val: 0.060 | iter time: 2288.53 ms (step)
Epoch 3 | iter 7650 step 1912 | loss train: 0.059, val: 0.060 | iter time: 1692.19 ms
Epoch 3 | iter 7700 step 1925 | loss train: 0.059, val: 0.060 | iter time: 2290.00 ms (step)
Epoch 3 | iter 7750 step 1937 | loss train: 0.059, val: 0.060 | iter time: 1692.44 ms
Epoch 3 | iter 7800 step 1950 | loss train: 0.060, val: 0.060 | iter time: 2311.27 ms (step)
Epoch 3 | iter 7850 step 1962 | loss train: 0.060, val: 0.060 | iter time: 1696.61 ms
Epoch 3 | iter 7900 step 1975 | loss train: 0.059, val: 0.060 | iter time: 2261.06 ms (step)
Epoch 3 | iter 7950 step 1987 | loss train: 0.060, val: 0.060 | iter time: 1687.61 ms
Epoch 3 | iter 8000 step 2000 | loss train: 0.059, val: 0.060 | iter time: 2295.65 ms (step)
Epoch 3 | iter 8050 step 2012 | loss train: 0.058, val: 0.060 | iter time: 1698.67 ms
Epoch 3 | iter 8100 step 2025 | loss train: 0.059, val: 0.060 | iter time: 2289.04 ms (step)
Epoch 3 | iter 8150 step 2037 | loss train: 0.060, val: 0.060 | iter time: 1693.09 ms
Epoch 3 | iter 8200 step 2050 | loss train: 0.060, val: 0.060 | iter time: 2292.95 ms (step)
Epoch 3 | iter 8250 step 2062 | loss train: 0.059, val: 0.060 | iter time: 1690.42 ms
Epoch 3 | iter 8300 step 2075 | loss train: 0.059, val: 0.060 | iter time: 2285.84 ms (step)
Epoch 3 | iter 8350 step 2087 | loss train: 0.060, val: 0.060 | iter time: 1693.23 ms
Epoch 3 | iter 8400 step 2100 | loss train: 0.059, val: 0.060 | iter time: 2250.46 ms (step)
Epoch 3 | iter 8450 step 2112 | loss train: 0.058, val: 0.060 | iter time: 1682.87 ms
Epoch 3 | iter 8500 step 2125 | loss train: 0.060, val: 0.060 | iter time: 2311.07 ms (step)
Epoch 3 | iter 8550 step 2137 | loss train: 0.060, val: 0.060 | iter time: 1699.13 ms
Epoch 3 | iter 8600 step 2150 | loss train: 0.059, val: 0.060 | iter time: 2304.53 ms (step)
Epoch 3 | iter 8650 step 2162 | loss train: 0.059, val: 0.060 | iter time: 1693.40 ms
Epoch 3 | iter 8700 step 2175 | loss train: 0.060, val: 0.060 | iter time: 2280.71 ms (step)
Epoch 3 | iter 8750 step 2187 | loss train: 0.059, val: 0.060 | iter time: 1695.47 ms
Epoch 3 | iter 8800 step 2200 | loss train: 0.058, val: 0.060 | iter time: 2290.63 ms (step)
Epoch 3 | iter 8850 step 2212 | loss train: 0.060, val: 0.059 | iter time: 1693.63 ms
Epoch 3 | iter 8900 step 2225 | loss train: 0.060, val: 0.059 | iter time: 2302.86 ms (step)
Epoch 3 | iter 8950 step 2237 | loss train: 0.059, val: 0.059 | iter time: 1694.73 ms
Epoch 3 | iter 9000 step 2250 | loss train: 0.059, val: 0.059 | iter time: 2296.07 ms (step)
Epoch 3 | iter 9050 step 2262 | loss train: 0.060, val: 0.059 | iter time: 1692.44 ms
Epoch 3 | iter 9100 step 2275 | loss train: 0.060, val: 0.059 | iter time: 2309.15 ms (step)
Epoch 3 | iter 9150 step 2287 | loss train: 0.059, val: 0.059 | iter time: 1685.13 ms
Epoch 3 | iter 9200 step 2300 | loss train: 0.060, val: 0.059 | iter time: 2276.64 ms (step)
Epoch 3 | iter 9250 step 2312 | loss train: 0.059, val: 0.059 | iter time: 1694.37 ms
Epoch 3 | iter 9300 step 2325 | loss train: 0.059, val: 0.059 | iter time: 2296.38 ms (step)
Epoch 3 | iter 9350 step 2337 | loss train: 0.059, val: 0.059 | iter time: 1683.86 ms
Epoch 3 | iter 9400 step 2350 | loss train: 0.059, val: 0.059 | iter time: 2278.70 ms (step)
Epoch 3 | iter 9450 step 2362 | loss train: 0.059, val: 0.059 | iter time: 1701.12 ms
Epoch 3 | iter 9500 step 2375 | loss train: 0.059, val: 0.059 | iter time: 2286.56 ms (step)
Epoch 3 | iter 9550 step 2387 | loss train: 0.059, val: 0.059 | iter time: 1698.99 ms
Epoch 3 | iter 9600 step 2400 | loss train: 0.059, val: 0.059 | iter time: 2266.72 ms (step)
Epoch 3 | iter 9650 step 2412 | loss train: 0.060, val: 0.059 | iter time: 1692.52 ms
Epoch 3 | iter 9700 step 2425 | loss train: 0.059, val: 0.059 | iter time: 2248.78 ms (step)
Epoch 3 | iter 9750 step 2437 | loss train: 0.058, val: 0.059 | iter time: 1692.02 ms
Epoch 3 | iter 9800 step 2450 | loss train: 0.059, val: 0.059 | iter time: 2287.81 ms (step)
Epoch 3 | iter 9850 step 2462 | loss train: 0.058, val: 0.059 | iter time: 1702.78 ms
Epoch 3 | iter 9900 step 2475 | loss train: 0.060, val: 0.059 | iter time: 2286.61 ms (step)
Epoch 3 | iter 9950 step 2487 | loss train: 0.058, val: 0.059 | iter time: 1691.19 ms
Epoch 3 | iter 10000 step 2500 | loss train: 0.059, val: 0.059 | iter time: 2290.85 ms (step)
Epoch 3 | iter 10050 step 2512 | loss train: 0.058, val: 0.059 | iter time: 1689.10 ms
Epoch 3 | iter 10100 step 2525 | loss train: 0.060, val: 0.059 | iter time: 2290.85 ms (step)
Epoch 3 | iter 10150 step 2537 | loss train: 0.058, val: 0.059 | iter time: 1700.62 ms
Epoch 3 | iter 10200 step 2550 | loss train: 0.059, val: 0.059 | iter time: 2250.10 ms (step)
Epoch 4 | iter 10250 step 2562 | loss train: 0.059, val: 0.059 | iter time: 1688.78 ms
Epoch 4 | iter 10300 step 2575 | loss train: 0.058, val: 0.059 | iter time: 2296.39 ms (step)
Epoch 4 | iter 10350 step 2587 | loss train: 0.059, val: 0.059 | iter time: 1696.39 ms
Epoch 4 | iter 10400 step 2600 | loss train: 0.060, val: 0.059 | iter time: 2280.64 ms (step)
Epoch 4 | iter 10450 step 2612 | loss train: 0.059, val: 0.059 | iter time: 1691.22 ms
Epoch 4 | iter 10500 step 2625 | loss train: 0.058, val: 0.059 | iter time: 2300.52 ms (step)
Epoch 4 | iter 10550 step 2637 | loss train: 0.059, val: 0.059 | iter time: 1694.95 ms
Epoch 4 | iter 10600 step 2650 | loss train: 0.060, val: 0.059 | iter time: 2275.94 ms (step)
Epoch 4 | iter 10650 step 2662 | loss train: 0.059, val: 0.059 | iter time: 1691.41 ms
Epoch 4 | iter 10700 step 2675 | loss train: 0.059, val: 0.059 | iter time: 2278.45 ms (step)
Epoch 4 | iter 10750 step 2687 | loss train: 0.059, val: 0.059 | iter time: 1693.55 ms
Epoch 4 | iter 10800 step 2700 | loss train: 0.059, val: 0.059 | iter time: 2301.53 ms (step)
Epoch 4 | iter 10850 step 2712 | loss train: 0.058, val: 0.059 | iter time: 1694.71 ms
Epoch 4 | iter 10900 step 2725 | loss train: 0.059, val: 0.059 | iter time: 2288.25 ms (step)
Epoch 4 | iter 10950 step 2737 | loss train: 0.059, val: 0.059 | iter time: 1686.37 ms
Epoch 4 | iter 11000 step 2750 | loss train: 0.059, val: 0.059 | iter time: 2252.50 ms (step)
Epoch 4 | iter 11050 step 2762 | loss train: 0.059, val: 0.059 | iter time: 1693.27 ms
Epoch 4 | iter 11100 step 2775 | loss train: 0.058, val: 0.059 | iter time: 2296.73 ms (step)
Epoch 4 | iter 11150 step 2787 | loss train: 0.058, val: 0.059 | iter time: 1694.01 ms
Epoch 4 | iter 11200 step 2800 | loss train: 0.059, val: 0.059 | iter time: 2296.64 ms (step)
Epoch 4 | iter 11250 step 2812 | loss train: 0.058, val: 0.059 | iter time: 1698.20 ms
Epoch 4 | iter 11300 step 2825 | loss train: 0.059, val: 0.059 | iter time: 2272.49 ms (step)
Epoch 4 | iter 11350 step 2837 | loss train: 0.060, val: 0.059 | iter time: 1705.06 ms
Epoch 4 | iter 11400 step 2850 | loss train: 0.058, val: 0.059 | iter time: 2253.34 ms (step)
Epoch 4 | iter 11450 step 2862 | loss train: 0.058, val: 0.059 | iter time: 1693.57 ms
Epoch 4 | iter 11500 step 2875 | loss train: 0.058, val: 0.059 | iter time: 2263.32 ms (step)
Epoch 4 | iter 11550 step 2887 | loss train: 0.057, val: 0.059 | iter time: 1697.23 ms
Epoch 4 | iter 11600 step 2900 | loss train: 0.058, val: 0.059 | iter time: 2282.65 ms (step)
Epoch 4 | iter 11650 step 2912 | loss train: 0.059, val: 0.059 | iter time: 1696.99 ms
Epoch 4 | iter 11700 step 2925 | loss train: 0.058, val: 0.059 | iter time: 2291.32 ms (step)
Epoch 4 | iter 11750 step 2937 | loss train: 0.058, val: 0.059 | iter time: 1697.64 ms
Epoch 4 | iter 11800 step 2950 | loss train: 0.058, val: 0.059 | iter time: 2283.77 ms (step)
Epoch 4 | iter 11850 step 2962 | loss train: 0.058, val: 0.059 | iter time: 1692.74 ms
Epoch 4 | iter 11900 step 2975 | loss train: 0.059, val: 0.059 | iter time: 2285.88 ms (step)
Epoch 4 | iter 11950 step 2987 | loss train: 0.058, val: 0.059 | iter time: 1705.91 ms
Epoch 4 | iter 12000 step 3000 | loss train: 0.057, val: 0.059 | iter time: 2280.20 ms (step)
Epoch 4 | iter 12050 step 3012 | loss train: 0.059, val: 0.059 | iter time: 1693.22 ms
Epoch 4 | iter 12100 step 3025 | loss train: 0.060, val: 0.059 | iter time: 2313.16 ms (step)
Epoch 4 | iter 12150 step 3037 | loss train: 0.059, val: 0.059 | iter time: 1697.10 ms
Epoch 4 | iter 12200 step 3050 | loss train: 0.057, val: 0.059 | iter time: 2312.80 ms (step)
Epoch 4 | iter 12250 step 3062 | loss train: 0.058, val: 0.059 | iter time: 1698.11 ms
Epoch 4 | iter 12300 step 3075 | loss train: 0.059, val: 0.059 | iter time: 2296.46 ms (step)
Epoch 4 | iter 12350 step 3087 | loss train: 0.059, val: 0.059 | iter time: 1691.03 ms
Epoch 4 | iter 12400 step 3100 | loss train: 0.058, val: 0.059 | iter time: 2269.69 ms (step)
Epoch 4 | iter 12450 step 3112 | loss train: 0.060, val: 0.059 | iter time: 1691.63 ms
Epoch 4 | iter 12500 step 3125 | loss train: 0.059, val: 0.059 | iter time: 2274.43 ms (step)
Epoch 4 | iter 12550 step 3137 | loss train: 0.058, val: 0.059 | iter time: 1697.08 ms
Epoch 4 | iter 12600 step 3150 | loss train: 0.059, val: 0.059 | iter time: 2268.07 ms (step)
Epoch 4 | iter 12650 step 3162 | loss train: 0.058, val: 0.059 | iter time: 1687.73 ms
Epoch 4 | iter 12700 step 3175 | loss train: 0.058, val: 0.059 | iter time: 2289.76 ms (step)
Epoch 4 | iter 12750 step 3187 | loss train: 0.058, val: 0.059 | iter time: 1706.29 ms
Epoch 4 | iter 12800 step 3200 | loss train: 0.059, val: 0.059 | iter time: 2259.43 ms (step)
Epoch 4 | iter 12850 step 3212 | loss train: 0.058, val: 0.059 | iter time: 1700.34 ms
Epoch 4 | iter 12900 step 3225 | loss train: 0.058, val: 0.059 | iter time: 2259.79 ms (step)
Epoch 4 | iter 12950 step 3237 | loss train: 0.059, val: 0.059 | iter time: 1694.03 ms
Epoch 4 | iter 13000 step 3250 | loss train: 0.058, val: 0.059 | iter time: 2270.11 ms (step)
Epoch 4 | iter 13050 step 3262 | loss train: 0.059, val: 0.059 | iter time: 1687.25 ms
Epoch 4 | iter 13100 step 3275 | loss train: 0.058, val: 0.059 | iter time: 2254.69 ms (step)
Epoch 4 | iter 13150 step 3287 | loss train: 0.059, val: 0.059 | iter time: 1701.42 ms
Epoch 4 | iter 13200 step 3300 | loss train: 0.060, val: 0.059 | iter time: 2294.52 ms (step)
Epoch 4 | iter 13250 step 3312 | loss train: 0.058, val: 0.059 | iter time: 1693.47 ms
Epoch 4 | iter 13300 step 3325 | loss train: 0.059, val: 0.059 | iter time: 2272.78 ms (step)
Epoch 4 | iter 13350 step 3337 | loss train: 0.059, val: 0.059 | iter time: 1695.11 ms
Epoch 4 | iter 13400 step 3350 | loss train: 0.058, val: 0.059 | iter time: 2273.62 ms (step)
Epoch 4 | iter 13450 step 3362 | loss train: 0.059, val: 0.059 | iter time: 1689.65 ms
Epoch 4 | iter 13500 step 3375 | loss train: 0.058, val: 0.059 | iter time: 2288.61 ms (step)
Epoch 4 | iter 13550 step 3387 | loss train: 0.058, val: 0.059 | iter time: 1692.14 ms
Epoch 4 | iter 13600 step 3400 | loss train: 0.059, val: 0.059 | iter time: 2283.63 ms (step)
Epoch 5 | iter 13650 step 3412 | loss train: 0.060, val: 0.059 | iter time: 1694.08 ms
